ABC_Publication,Edition,State,District,Year,Half,Language,Frequency,Avg Circulation,Gram State,Gram District
Aaj Samaj,New Delhi edition,CH,Chandigarh,2013,H1,Hindi,Dailies,91860.0,CHANDIGARH,CHANDIGARH
Aaj Samaj,New Delhi edition,CH,Chandigarh,2013,H2,Hindi,Dailies,91592.0,CHANDIGARH,CHANDIGARH
Aaj Samaj,New Delhi edition,CH,Chandigarh,2014,H1,Hindi,Dailies,91237.0,CHANDIGARH,CHANDIGARH
Aaj Samaj,New Delhi edition,CH,Chandigarh,2014,H2,Hindi,Dailies,92079.0,CHANDIGARH,CHANDIGARH
Aaj Samaj,New Delhi edition,CH,Chandigarh,2015,H1,Hindi,Dailies,91910.0,CHANDIGARH,CHANDIGARH
Aaj Samaj,New Delhi edition,DL,New Delhi,2013,H1,Hindi,Dailies,14674.0,DELHI,NEW DELHI
Aaj Samaj,New Delhi edition,DL,New Delhi,2013,H2,Hindi,Dailies,14168.0,DELHI,NEW DELHI
Aaj Samaj,New Delhi edition,DL,New Delhi,2014,H1,Hindi,Dailies,14832.0,DELHI,NEW DELHI
Aaj Samaj,New Delhi edition,DL,New Delhi,2014,H2,Hindi,Dailies,15391.0,DELHI,NEW DELHI
Aaj Samaj,New Delhi edition,DL,New Delhi,2015,H1,Hindi,Dailies,15408.0,DELHI,NEW DELHI
Aaj Samaj,New Delhi edition,HR,Ambala,2013,H1,Hindi,Dailies,61011.0,HARYANA,AMBALA
Aaj Samaj,New Delhi edition,HR,Ambala,2013,H2,Hindi,Dailies,65163.0,HARYANA,AMBALA
Aaj Samaj,New Delhi edition,HR,Ambala,2014,H1,Hindi,Dailies,65229.0,HARYANA,AMBALA
Aaj Samaj,New Delhi edition,HR,Ambala,2014,H2,Hindi,Dailies,65568.0,HARYANA,AMBALA
Aaj Samaj,New Delhi edition,HR,Ambala,2015,H1,Hindi,Dailies,65070.0,HARYANA,AMBALA
Aaj Samaj,New Delhi edition,HR,Bhiwani,2013,H1,Hindi,Dailies,15195.0,HARYANA,BHIWANI
Aaj Samaj,New Delhi edition,HR,Bhiwani,2013,H2,Hindi,Dailies,15533.0,HARYANA,BHIWANI
Aaj Samaj,New Delhi edition,HR,Bhiwani,2014,H1,Hindi,Dailies,15419.0,HARYANA,BHIWANI
Aaj Samaj,New Delhi edition,HR,Bhiwani,2014,H2,Hindi,Dailies,15512.0,HARYANA,BHIWANI
Aaj Samaj,New Delhi edition,HR,Bhiwani,2015,H1,Hindi,Dailies,15173.0,HARYANA,BHIWANI
Aaj Samaj,New Delhi edition,HR,Faridabad,2013,H1,Hindi,Dailies,50533.0,HARYANA,FARIDABAD
Aaj Samaj,New Delhi edition,HR,Faridabad,2013,H2,Hindi,Dailies,50744.0,HARYANA,FARIDABAD
Aaj Samaj,New Delhi edition,HR,Faridabad,2014,H1,Hindi,Dailies,50421.0,HARYANA,FARIDABAD
Aaj Samaj,New Delhi edition,HR,Faridabad,2014,H2,Hindi,Dailies,50517.0,HARYANA,FARIDABAD
Aaj Samaj,New Delhi edition,HR,Faridabad,2015,H1,Hindi,Dailies,50494.0,HARYANA,FARIDABAD
Aaj Samaj,New Delhi edition,HR,Fatehabad,2013,H1,Hindi,Dailies,9491.0,HARYANA,FATEHABAD
Aaj Samaj,New Delhi edition,HR,Fatehabad,2013,H2,Hindi,Dailies,9584.0,HARYANA,FATEHABAD
Aaj Samaj,New Delhi edition,HR,Fatehabad,2014,H1,Hindi,Dailies,9509.0,HARYANA,FATEHABAD
Aaj Samaj,New Delhi edition,HR,Fatehabad,2014,H2,Hindi,Dailies,9523.0,HARYANA,FATEHABAD
Aaj Samaj,New Delhi edition,HR,Fatehabad,2015,H1,Hindi,Dailies,9267.0,HARYANA,FATEHABAD
Aaj Samaj,New Delhi edition,HR,Gurgaon,2013,H1,Hindi,Dailies,57021.0,HARYANA,GURGAON
Aaj Samaj,New Delhi edition,HR,Gurgaon,2013,H2,Hindi,Dailies,57863.0,HARYANA,GURGAON
Aaj Samaj,New Delhi edition,HR,Gurgaon,2014,H1,Hindi,Dailies,57487.0,HARYANA,GURGAON
Aaj Samaj,New Delhi edition,HR,Gurgaon,2014,H2,Hindi,Dailies,57645.0,HARYANA,GURGAON
Aaj Samaj,New Delhi edition,HR,Gurgaon,2015,H1,Hindi,Dailies,57257.0,HARYANA,GURGAON
Aaj Samaj,New Delhi edition,HR,Hisar,2013,H1,Hindi,Dailies,30332.0,HARYANA,HISAR
Aaj Samaj,New Delhi edition,HR,Hisar,2013,H2,Hindi,Dailies,30728.0,HARYANA,HISAR
Aaj Samaj,New Delhi edition,HR,Hisar,2014,H1,Hindi,Dailies,30502.0,HARYANA,HISAR
Aaj Samaj,New Delhi edition,HR,Hisar,2014,H2,Hindi,Dailies,30561.0,HARYANA,HISAR
Aaj Samaj,New Delhi edition,HR,Hisar,2015,H1,Hindi,Dailies,30057.0,HARYANA,HISAR
Aaj Samaj,New Delhi edition,HR,Jhajjar,2013,H1,Hindi,Dailies,11027.0,HARYANA,JHAJJAR
Aaj Samaj,New Delhi edition,HR,Jhajjar,2013,H2,Hindi,Dailies,11089.0,HARYANA,JHAJJAR
Aaj Samaj,New Delhi edition,HR,Jhajjar,2014,H1,Hindi,Dailies,11019.0,HARYANA,JHAJJAR
Aaj Samaj,New Delhi edition,HR,Jhajjar,2014,H2,Hindi,Dailies,11070.0,HARYANA,JHAJJAR
Aaj Samaj,New Delhi edition,HR,Jhajjar,2015,H1,Hindi,Dailies,11014.0,HARYANA,JHAJJAR
Aaj Samaj,New Delhi edition,HR,Jind,2013,H1,Hindi,Dailies,7628.0,HARYANA,JIND
Aaj Samaj,New Delhi edition,HR,Jind,2013,H2,Hindi,Dailies,7782.0,HARYANA,JIND
Aaj Samaj,New Delhi edition,HR,Jind,2014,H1,Hindi,Dailies,7724.0,HARYANA,JIND
Aaj Samaj,New Delhi edition,HR,Jind,2014,H2,Hindi,Dailies,7756.0,HARYANA,JIND
Aaj Samaj,New Delhi edition,HR,Jind,2015,H1,Hindi,Dailies,7536.0,HARYANA,JIND
Aaj Samaj,New Delhi edition,HR,Kaithal,2013,H1,Hindi,Dailies,10163.0,HARYANA,KAITHAL
Aaj Samaj,New Delhi edition,HR,Kaithal,2013,H2,Hindi,Dailies,10327.0,HARYANA,KAITHAL
Aaj Samaj,New Delhi edition,HR,Kaithal,2014,H1,Hindi,Dailies,10418.0,HARYANA,KAITHAL
Aaj Samaj,New Delhi edition,HR,Kaithal,2014,H2,Hindi,Dailies,10804.0,HARYANA,KAITHAL
Aaj Samaj,New Delhi edition,HR,Kaithal,2015,H1,Hindi,Dailies,11050.0,HARYANA,KAITHAL
Aaj Samaj,New Delhi edition,HR,Karnal,2013,H1,Hindi,Dailies,24894.0,HARYANA,KARNAL
Aaj Samaj,New Delhi edition,HR,Karnal,2013,H2,Hindi,Dailies,24210.0,HARYANA,KARNAL
Aaj Samaj,New Delhi edition,HR,Karnal,2014,H1,Hindi,Dailies,24575.0,HARYANA,KARNAL
Aaj Samaj,New Delhi edition,HR,Karnal,2014,H2,Hindi,Dailies,24935.0,HARYANA,KARNAL
Aaj Samaj,New Delhi edition,HR,Karnal,2015,H1,Hindi,Dailies,24475.0,HARYANA,KARNAL
Aaj Samaj,New Delhi edition,HR,Kurukshetra,2013,H1,Hindi,Dailies,26914.0,HARYANA,KURUKSHETRA
Aaj Samaj,New Delhi edition,HR,Kurukshetra,2013,H2,Hindi,Dailies,26947.0,HARYANA,KURUKSHETRA
Aaj Samaj,New Delhi edition,HR,Kurukshetra,2014,H1,Hindi,Dailies,25552.0,HARYANA,KURUKSHETRA
Aaj Samaj,New Delhi edition,HR,Kurukshetra,2014,H2,Hindi,Dailies,26036.0,HARYANA,KURUKSHETRA
Aaj Samaj,New Delhi edition,HR,Kurukshetra,2015,H1,Hindi,Dailies,24895.0,HARYANA,KURUKSHETRA
Aaj Samaj,New Delhi edition,HR,Mahendragarh,2013,H1,Hindi,Dailies,10761.0,HARYANA,MAHENDRAGARH
Aaj Samaj,New Delhi edition,HR,Mahendragarh,2013,H2,Hindi,Dailies,10814.0,HARYANA,MAHENDRAGARH
Aaj Samaj,New Delhi edition,HR,Mahendragarh,2014,H1,Hindi,Dailies,10702.0,HARYANA,MAHENDRAGARH
